Employment History,,,
Profile ID,Employment Dates,Place of Employment,Description of Responsibilities
2,2007,MPSR,Domestica
43,5/1/2007,Nica,Nica meeting
43,5/1/2008,Nica,Nica meeting
57,Dic. 2006,MPSR,Housekeeper
94,7-dic.,M Playa Santa Rosa,Domestica temporal
94,8-jun.,M Playa Santa Rosa,Domestica
112,2011-2012,En el Colegio,Vigilante..
156,,Home Laundry Business,Washes and irons laundry for people in the town
167,17 Sept 2011,Limpieza Internacional de Costas,Muy Buena.
202,May 07 - May 08,El Pozo Privado,"NICA put a generator at the private well, owned by Gerardo's family.  NICA made an agreement to pay Gerardo $250 to run the well and distribute water to the residents and NICA would collect the money to put diesel in the generator.  Gerardo was a good employee and always did his job on time and well."
244,Miercoles 16 de may 2012,Trabajo de electricidad en Casa de Jonathan Butcher.,"El es una persona inresponsable ya que el hizo un trato con la señora Terri,de instalar el sistema electrico por la cantidad de C$ 200 y si la luz electrica no funcionaba en un lapso de tiempo de hora y media,El regresaria el dinero. Lo cual no cumplio ya que la luz electrica no funciono asta que union fenosa instalo el servicio. El cual cuando se llamo para hablar con el para reclamar por el servivio el no llego a la casa inmediatamente ya que no quiso ir porque se encontraba jugando beisbol.Despues de 1 hora llego a casa y amenazo con quitar el servicio de energia electrica lo cual no tenia ningun derecho ya que no hizo ningun trabajo y se quedo con el dinero..."
256,02-08 2012,Verano Limpio,
284,sept.-12,Maestro de Obra,Encargado de todas los proyectos de construccion que NICA realice en el transito.
459,02-08 Abril 2012,Verano Limpio,
